ΚΩΔΙΚΟΣ,ΕΠΟΠΤΕΥΩΝ ΦΟΡΕΑΣ,ΔΙΑΚΡΙΤΙΚΟΣ ΤΙΤΛΟΣ ,ΙΔΙΟΚΤΗΤΗΣ,ΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ,ΤΑΧΥΔΡΟΜΙΚΗ Δ/ΝΣΗ ΣΧΟΛΕΙΟΥ ,"ΑΡΙΘ. ΑΠΟΦ. ΧΟΡΗΓ. ΑΡΧ. ΑΔΕΙΑΣ, ΦΕΚ ΔΗΜΟΣ.",ΠΑΡΑΤΗΡΗΣΕΙΣ/ ΜΕΤΑΒΟΛΕΣ / ΤΡΟΠΟΠΟΙΗΣΕΙΣ
7051001,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ- ΓΑΛΑΤΙΑ ΣΤΕΦΑΝΟΥ,ΓΑΛΑΤΕΙΑ ΣΤΕΦΑΝΟΥ,ΓΑΛΑΤΕΙΑ ΣΤΕΦΑΝΟΥ,ΦΙΛΙΠΠΟΥΠΟΛΕΩΣ 22 Τ.Κ. 10443 ΑΘΗΝΑ ΤΗΛ.: 210-5139956,"Φ2ΓΑ/125752/Δ5/10-9-2013,ΦΕΚ 285/Β/10-2-14","59483/Ν1/17-04-2018 ΦΕΚ 1481/Β/27-04-2018
144926/Ν1/23-10-2020 , ΦΕΚ4861/Β'/04-11-2020"
7051005,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΡΜΕΝΙΚΟΣ ΚΥΑΝΟΥΣ ΣΤΑΥΡΟΣ,ΑΡΜΕΝΙΚΟΣ ΚΥΑΝΟΥΣ ΣΤΑΥΡΟΣ,ΑΒΑΚΙΑΝ ΕΛΙΖ,ΣΑΡΚΟΥΔΙΝΟΥ 120 Τ.Κ. 11745 ΝΕΟΣ ΚΟΣΜΟΣ ΑΘΗΝΑ ΤΗΛ.: 210-9358042,"Φ2ΓΒ/130401/Δ5/13-8-2014,ΦΕΚ 2346/Β/1-9-14","ΤΡΟΠΟΠΟΙΗΣΗ ΝΟΜ. ΕΚΠΡ. 94527/Ν1/7-06-2017 ΦΕΚ 2092/Β/19-06-2017
77497/Ν1/23-06-2022, ΦΕΚ 3470/Β/05-07-2022"
7051007,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΓΟΥΤΟΥ ΓΟΥΠΑΤΟΥ Ε.Π.Ε,Κ.Ε. ΚΑΒΑΛΑΡΗ ΕΠΕ,ΚΑΒΑΛΑΡΗ ΚΑΛΛΙΟΠΗ,ΤΡΙΒΩΝΙΑΝΟΥ 60 & ΔΟΜΠΟΛΗ Τ.Κ.11636 ΑΘΗΝΑ ΤΗΛ.: 210-7562719,"Φ2 ΓΑ/48728/Δ5/1-4-2014,ΦΕΚ 893/Β/ 10-4-14","140457/Ν1/11-09-2019 , ΦΕΚ 3495/Β/18-09-2019"
7051011,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ -ΜΟΝΤΕΣΣΟΡΙΑΝΗ ΣΧΟΛΗ ΑΘΗΝΩΝ ΜΑΡΙΑ ΓΟΥΔΕΛΗ ΑΝΩΝΥΜΟΣ ΕΚΠΑΙΔΕΥΤΙΚΗ ΕΤΑΙΡΙΑ,ΜΟΝΤΕΣΣΟΡΙΑΝΗ ΣΧΟΛΗ ΑΘΗΝΩΝ ΜΑΡΙΑ ΓΟΥΔΕΛΗ ΑΝΩΝΥΜΟΣ ΕΚΠΑΙΔΕΥΤΙΚΗ ΕΤΑΙΡΙΑ,ΕΦΕΝΤΑΚΗΣ ΝΙΚΟΛΑΟΣ,Π. ΧΑΤΖΟΠΟΥΛΟΥ 2 Τ.Κ. 11524 Ν. ΦΙΛΟΘΕΗ ΤΗΛ.: 210-6925100,"Φ2ΓΑ/2090/Δ5/9-1-2014,ΦΕΚ 448/Β/24-02-2014",
7051013,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΧΟΛΗ ΧΙΛΛ,ΣΧΟΛΗ ΧΙΛΛ Ο.Ε.,ΑΝΔΡΕΑΣ ΑΛΙΒΙΖΑΤΟΣ,ΘΟΥΚΥΔΙΔΟΥ 9 Τ.Κ. 10557 ΠΛΑΚΑ ΤΗΛ.: 210-3235298,"Φ2ΓΒ/148700/Δ5/14-10-2013,ΦΕΚ 622/Β/ 12-03-2014","ΜΕΤΑΒΙΒΑΣΗ  84849/Δ1/28-05-2015 (ΦΕΚ 1072/Β/8-6-2015) 
 ΤΡΟΠΟΠΟΙΗΣΗ  139684/Δ1/08-09-2015 (ΦΕΚ 1984/Β/14-09-2015
155400/Ν1/19-9-2018 , ΦΕΚ  4767/Β/25-10-2018
108783/Ν1/24-08-2020 , 3784/Β'/09-09-2020, 132510/Ν1/17-11-2023   ΦΕΚ 6594/Β/20-11-2023

"
7051017,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΙΧΝΙΔΟΤΟΠΟΣ ΕΠΕ,ΠΑΙΧΝΙΔΟΤΟΠΟΣ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΤΖΙΟΥΡΑ ΠΟΛΥΞΕΝΗ,ΣΥΜΕΩΝΟΓΛΟΥ 7Β Τ.Κ. 11524 ΝΕΑ ΦΙΛΟΘΕΗ ΑΜΠΕΛΟΚΗΠΩΝ ΤΗΛ.: 210-6911833,"Φ2ΓΑ/133173/Δ5/20-9-2013,ΦΕΚ 286/Β/10-2-14","85553/24-05-2018 ΦΕΚ 2288/Β/18-06-2018
61559/Ν1/31-05-2021,ΦΕΚ 2477/Β/10-06-2021  114692/Ν1/12-10-2023 ΦΕΚ 6095/20-10-2023"
7051021,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΑΓΙΟΣ ΠΑΥΛΟΣ,ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΑΓΙΟΣ ΠΑΥΛΟΣ ΙΚΕ,ΒΑΡΘΑΛΙΤΗΣ ΠΕΤΡΟΣ,ΠΟΛΥΛΑ 5 Τ.Κ. 11141 ΠΑΤΗΣΙΑ ΤΗΛ.: 210-2280568,"Φ2ΓΑ/186402/Δ5/5-12-2013,ΦΕΚ 416/Β/  20-2-14","ΤΡΟΠΟΠΟΙΗΣΗ 128407/Ν1/27-07-2017 ΦΕΚ 2986/Β/30-08-2017
47575/Ν1/26-04-2021,ΦΕΚ 1812/Β'/29-04-2021"
7051023,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΧΟΛΗ ΜΕΡΟΠΗ ΧΑΤΖΗΒΕΗ,"ΣΤΥΛΙΑΝΟΣ ΧΑΤΖΗΒΕΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ
ΣΧΟΛΗ ΜΕΡΟΠΗ ΧΑΤΖΗΒΕΗ",ΜΕΡΟΠΗ ΧΑΤΖΗΒΕΗ,ΑΔΑΝΩΝ 17 Τ.Κ. 14341 Ν. ΦΙΛΑΔΕΛΦΕΙΑ ΤΗΛ.: 210-2511371,"Φ2ΓΑ/103287/Δ5/3-7-2014,ΦΕΚ 1874/Β/10-7-14","88774/N1/3-6-2019 ΦΕΚ 2156/Β/7-6-2019
144771/Ν1/11-11-2021,ΦΕΚ 5431/Β/22-11-2021"
7051025,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΑΥΡΟΜΜΑΤΗ ΜΑΡΙΑ,ΜΑΥΡΟΜΜΑΤΗ ΜΑΡΙΑ,ΜΑΥΡΟΜΜΑΤΗ ΜΑΡΙΑ,ΚΟΥΡΤΙΔΟΥ 132 Τ.Κ. 11145 ΠΑΤΗΣΙΑ ΤΗΛ.: 210-2283511,"Φ2Β/175018/Δ5/18-11-2013,ΦΕΚ 1201/Β/ 12-5-14",ΤΡΟΠΟΠΟΙΗΣΗ 139749/Δ1/08-09-2015 ΦΕΚ 1983/Β/14-09-2015
7051027,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - Η ΘΕΟΜΗΤΩΡ,ΙΕΡΑ ΜΟΝΗ  ΘΕΟΜΗΤΟΡΟΣ,ΗΓΟΜΕΝΗ ΟΥΡΑΝΙΑ-ΠΕΛΑΓΙΑ ΑΛΒΕΡΤΗ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 130 Τ.Κ. 16345 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9911622 FAX: 210-9914533,"Φ2Α/2142/Δ5/9-1-2014,ΦΕΚ 402/Β/ 20-2-14","100562/Ν1/18-06-2018,ΦΕΚ 2810/Β/16-07-2018
131730/Ν1/26-08-2019,ΦΕΚ 3447/Β/12-09-2019"
7051035,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ -ΛΥΚΟΥ ΕΥΑΓΓΕΛΙΑ - ΜΑΡΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ ΟΕ,ΛΥΚΟΥ ΕΥΑΓΓΕΛΙΑ - ΜΑΡΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ ΟΕ,ΜΑΡΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ 13 Τ.Κ. 16232 ΒΥΡΩΝΑΣ ΤΗΛ:. 210-7622100,"Φ2ΓΑ/144771/Δ5/8-10-2013,ΦΕΚ 336/Β/13-02-2014",Φ.2.ΓΒ/147669/Δ5/17-9-2014 ΦΕΚ 2569/B/2014
7051037,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΑ ΜΙΚΡΑ ΜΕΛΙΣΣΑΚΙΑ,ΚΑΡΑΒΑΣΙΛΗ ΒΑΡΒΑΡΑ,ΚΑΡΑΒΑΣΙΛΗ ΒΑΡΒΑΡΑ,ΒΩΝΟΥ 3Α Τ.Κ. 11471 ΛΥΚΑΒΗΤΤΟΣ ΤΗΛ.: 210-6449497 210-6442089,"Φ2ΓΑ/144741/Δ5/8-10-2013,ΦΕΚ 336/Β/13-2-14","144661/Ν1/23-10-2020, ΦΕΚ 4824/Β/02-11-2020"
7051039,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΝΟΥΠΥ,Π. ΑΦΕΝΤΑΚΗ - Α. ΓΙΑΝΝΑΡΗ Ο.Ε.,ΓΙΑΝΝΑΡΗ ΑΝΤΩΝΙΑ,ΕΥΦΡΟΝΙΟΥ 11 Τ.Κ 11634 ΑΘΗΝΑ ΤΗΛ.: 210-7010512,"144522/Δ1/16-9-2015,ΦΕΚ 2059/Β/18-9-15","ΤΡΟΠΟΠΟΙΗΣΗ 73932/Ν1/16-06-2022,ΦΕΚ 3309/Β/28-06-2022"
7051041,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ -ΙΦΙΓΕΝΕΙΑ ΠΡΕΔΑΡΗ ΚΑΙ ΣΙΑ Ο.Ε. - ΑΕΡΟΣΤΑΤΟ,ΙΦΙΓΕΝΕΙΑ ΠΡΕΔΑΡΗ ΚΑΙ ΣΙΑ ΟΕ,ΙΦΙΓΕΝΕΙΑ ΠΡΕΔΑΡΗ,ΕΥΡΥΔΑΜΑΝΤΟΣ 48 Τ.Κ. 11745 ΝΕΟΣ ΚΟΣΜΟΣ ΤΗΛ.: 210-9337863,"Φ2ΓΑ/109136/Δ5/14-7-2014,ΦΕΚ 2137/Β/5-8-14","ΤΡΟΠΟΠΟΙΗΣΗ  95159/Ν1/31-7-25, ΦΕΚ 4295/Β'/7-8-25 "
7051043,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΟΙ ΜΙΚΡΟΙ ΚΥΚΝΟΙ,Ι. ΒΕΛΗΜΒΑΣΑΚΗ & ΣΙΑ Ε.Ε.,ΙΩΑΝΝΑ ΒΕΛΗΜΒΑΣΑΚΗ,ΑΝΑΚΡΕΟΝΤΟΣ 29 Τ.Κ. 15772 ΖΩΓΡΑΦΟΥ ΤΗΛ.: 210-7787799,"Φ2ΓΒ/26124/Δ5/24-2-2014,ΦΕΚ 545/Β/05-03-2014",
7051045,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΕΛ. ΚΑΙ ΑΘ. ΦΡΑΓΚΗ ΚΑΙ ΣΙΑ ΕΕ - ΛΑΚΩΝΙΚΗ ΣΧΟΛΗ ΙΙ/ΠΡΟΤΥΠΟ ΚΕΝΤΡΟ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ,ΕΛ. ΚΑΙ ΑΘ. ΦΡΑΓΚΗ ΚΑΙ ΣΙΑ ΕΕ,ΕΛΕΝΗ ΦΡΑΓΚΗ,ΛΕΒΙΔΙΟΥ 32 Τ.Κ. 10442 ΚΟΛΩΝΟΣ ΤΗΛ.: 210-5129959,"Φ2ΓΑ/167785/Δ5/6-11-2013,ΦΕΚ 360/Β/14-2-14","68973/Ν1/06-06-2022,ΦΕΚ 3108/Β/20-06-2022"
7051047,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΠΡΩΤΟ ΣΚΑΛΙ,ΧΟΝΤΖΟΓΛΟΥ ΑΝΑΣΤΑΣΙΑ,ΧΟΝΤΖΟΓΛΟΥ ΑΝΑΣΤΑΣΙΑ,ΣΩΚΙΩΝ 21 Τ.Κ. 16231 ΒΥΡΩΝΑΣ ΤΗΛ.: 210-7657990 210-7608300,"Φ2ΓΑ/125661/Δ5/10-9-2013,ΦΕΚ 192/Β/31-1-14","ΤΡΟΠΟΠΟΙΗΣΗ 102170/Ν1/19-06-2017 (ΦΕΚ 2215/Β/29-06-2017
101487/Ν1/18-08-2021 , ΦΕΚ 4064/Β/06-09-2021
,ΦΕΚ 5353/Β΄/7-9-2023"
7051049,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΗΛΙΟΧΑΜΟΓΕΛΟ,ΚΟΝΔΥΛΑΚΗΣ ΓΕΩΡΓΙΟΣ & ΣΙΑ Ε.Ε.,ΜΑΜΠΛΕΚΟΥ ΑΜΑΛΙΑ,ΕΡΜΟΥ 16 Τ.Κ. 16233 ΒΥΡΩΝΑΣ ΤΗΛ:. 210-7666996,"Φ2ΓΒ/149565/Δ5/15-10-2013,ΦΕΚ 620/Β/12-3-14","59490/Ν1/17-04-2018 ΦΕΚ 1481/Β΄/27-04-2018,88887/Ν1/1-8-2024 ΦΕΚ 4627/Β/8-8-2024"
